loan_amnt,int_rate,fico_score,annual_inc,dti,emp_length,home_ownership,purpose,term,grade,loan_status,issue_date,installment
16189,6.3,797,48380,15.32,6,MORTGAGE,debt_consolidation,60 months,A,Fully Paid,2020-06-13,315.24
12303,8.1,762,32831,20.65,10,MORTGAGE,credit_card,36 months,C,Fully Paid,2020-03-03,386.1
10092,12.92,653,122529,5.43,5,MORTGAGE,home_improvement,36 months,F,Fully Paid,2020-10-16,339.65
12580,9.1,677,71689,14.14,9,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2020-05-14,400.63
11894,25.0,785,28662,19.24,1,MORTGAGE,debt_consolidation,60 months,B,Fully Paid,2021-12-08,349.1
16363,14.06,757,73417,24.94,1,MORTGAGE,small_business,36 months,B,Fully Paid,2020-01-01,559.73
16284,11.69,729,67057,5.89,6,RENT,debt_consolidation,36 months,C,Fully Paid,2021-08-06,538.45
15024,9.94,705,36219,8.27,1,MORTGAGE,credit_card,60 months,D,Fully Paid,2020-06-20,318.77
18495,10.08,754,138210,19.04,1,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2020-03-12,597.48
24525,12.12,690,65803,27.89,2,MORTGAGE,debt_consolidation,36 months,E,Fully Paid,2020-09-23,815.99
22596,12.45,808,51449,17.29,8,OWN,small_business,36 months,B,Fully Paid,2021-03-16,755.38
3120,10.17,741,56475,6.12,9,RENT,debt_consolidation,36 months,C,Fully Paid,2020-07-05,100.92
1000,10.91,784,81694,6.28,3,MORTGAGE,credit_card,36 months,B,Fully Paid,2022-05-18,32.7
22474,17.38,745,56923,16.08,10,OWN,debt_consolidation,60 months,D,Fully Paid,2020-08-02,563.14
4064,17.54,756,56591,17.86,8,OWN,debt_consolidation,36 months,C,Charged Off,2021-06-23,145.99
13201,13.01,748,126269,13.23,2,MORTGAGE,debt_consolidation,60 months,C,Fully Paid,2020-06-20,300.43
5639,6.63,652,22183,6.37,6,RENT,credit_card,60 months,E,Fully Paid,2021-12-08,110.68
1000,14.15,689,24932,23.81,10,RENT,debt_consolidation,36 months,D,Fully Paid,2022-12-09,34.25
19331,18.22,745,103143,12.21,8,RENT,debt_consolidation,36 months,C,Fully Paid,2021-10-01,701.0
21073,17.48,790,200000,19.22,4,OWN,other,60 months,B,Fully Paid,2020-07-03,529.17
10387,14.94,707,110585,0.81,3,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2022-11-14,359.76
1000,17.69,663,200000,24.61,8,MORTGAGE,major_purchase,60 months,F,Fully Paid,2022-02-12,25.23
10630,12.21,723,44176,9.52,5,OWN,debt_consolidation,60 months,C,Fully Paid,2020-10-26,237.59
18134,14.51,787,38332,25.76,2,RENT,major_purchase,36 months,A,Fully Paid,2020-06-13,624.28
3168,9.28,689,82419,19.9,3,MORTGAGE,debt_consolidation,36 months,E,Fully Paid,2021-12-27,101.15
16466,13.17,771,116722,3.57,7,MORTGAGE,major_purchase,60 months,B,Fully Paid,2022-07-17,376.09
14877,17.32,642,23906,16.96,2,RENT,home_improvement,36 months,F,Fully Paid,2021-02-23,532.78
19634,9.64,669,51572,28.25,7,MORTGAGE,credit_card,36 months,E,Fully Paid,2020-08-05,630.22
15956,8.55,679,58752,10.22,7,RENT,debt_consolidation,36 months,D,Fully Paid,2020-01-27,504.06
7215,12.39,679,37227,28.27,3,MORTGAGE,credit_card,36 months,E,Fully Paid,2020-02-27,240.99
24572,11.09,740,40394,18.09,4,MORTGAGE,major_purchase,36 months,B,Fully Paid,2020-01-24,805.5
13731,14.6,673,108028,25.72,9,RENT,credit_card,36 months,E,Fully Paid,2022-10-26,473.3
14781,10.19,736,83181,16.28,7,OWN,debt_consolidation,36 months,C,Fully Paid,2021-05-20,478.26
7533,18.87,798,104706,14.01,8,MORTGAGE,debt_consolidation,60 months,B,Fully Paid,2020-11-06,194.87
11453,6.84,748,75796,29.7,5,MORTGAGE,small_business,36 months,B,Fully Paid,2022-02-04,352.8
7921,17.01,719,32491,20.77,2,RENT,debt_consolidation,36 months,D,Fully Paid,2021-09-23,282.44
13616,8.94,683,80512,13.12,6,RENT,debt_consolidation,36 months,E,Fully Paid,2020-02-09,432.61
28693,5.0,658,30746,18.39,8,OWN,debt_consolidation,36 months,E,Fully Paid,2022-12-11,859.95
4024,12.95,771,48135,10.48,0,MORTGAGE,home_improvement,36 months,B,Fully Paid,2020-11-06,135.49
2091,10.98,623,28987,15.86,1,MORTGAGE,credit_card,36 months,F,Fully Paid,2022-01-31,68.44
26769,7.56,741,39041,24.56,5,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2022-09-19,833.42
13325,5.27,615,63788,13.71,4,RENT,credit_card,36 months,G,Fully Paid,2022-06-03,400.98
9647,11.97,757,43466,8.0,10,OWN,debt_consolidation,36 months,C,Fully Paid,2022-10-17,320.28
23319,15.9,755,32266,7.26,1,RENT,debt_consolidation,60 months,B,Fully Paid,2022-10-08,565.83
10155,14.34,755,132781,15.59,3,RENT,home_improvement,36 months,A,Fully Paid,2020-09-05,348.75
29608,12.23,698,55065,8.54,8,OWN,debt_consolidation,36 months,D,Fully Paid,2022-06-10,986.66
20423,13.92,812,41375,3.54,6,RENT,debt_consolidation,36 months,A,Charged Off,2021-06-03,697.22
11096,11.89,682,28066,5.41,6,OWN,debt_consolidation,60 months,E,Fully Paid,2021-06-08,246.21
32258,6.28,758,20000,24.4,7,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2020-08-26,985.45
10154,6.32,734,51254,13.86,0,RENT,debt_consolidation,60 months,D,Fully Paid,2022-11-28,197.82
20936,11.19,734,22816,15.46,9,RENT,home_improvement,60 months,C,Fully Paid,2021-06-26,457.19
17394,11.36,725,98560,7.27,2,MORTGAGE,home_improvement,36 months,D,Fully Paid,2021-09-20,572.43
25413,15.4,800,61123,10.35,1,MORTGAGE,debt_consolidation,60 months,A,Fully Paid,2021-02-03,609.92
27492,15.03,783,178233,10.09,3,RENT,debt_consolidation,36 months,B,Fully Paid,2022-11-06,953.42
15256,14.42,695,69993,12.79,7,OWN,credit_card,60 months,E,Charged Off,2020-11-09,358.31
8972,10.88,766,36002,1.73,2,MORTGAGE,home_improvement,36 months,C,Fully Paid,2022-11-01,293.22
18679,6.48,724,20000,23.72,0,OWN,other,36 months,C,Fully Paid,2022-01-28,572.32
9578,13.65,751,105301,14.87,1,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2022-11-13,325.73
31107,14.1,625,24118,16.62,3,RENT,other,36 months,F,Fully Paid,2022-07-16,1064.67
16092,5.0,781,44994,22.31,1,OWN,debt_consolidation,36 months,B,Fully Paid,2020-07-28,482.29
12077,8.66,646,193273,21.7,4,MORTGAGE,debt_consolidation,36 months,E,Fully Paid,2022-07-07,382.14
16477,9.24,838,91829,10.4,2,MORTGAGE,home_improvement,60 months,A,Fully Paid,2021-01-11,343.96
4222,12.47,686,78661,19.84,3,MORTGAGE,debt_consolidation,36 months,E,Fully Paid,2020-05-23,141.18
7227,8.79,654,115962,19.75,4,MORTGAGE,debt_consolidation,36 months,F,Fully Paid,2020-01-28,229.11
24603,11.85,677,112976,17.53,7,RENT,debt_consolidation,36 months,D,Fully Paid,2022-11-05,815.41
9744,11.16,790,181074,23.49,2,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2021-07-16,319.74
6624,11.36,824,39280,21.4,5,MORTGAGE,debt_consolidation,36 months,A,Fully Paid,2022-10-12,217.99
19293,9.13,735,45996,20.82,8,OWN,home_improvement,36 months,C,Fully Paid,2022-10-22,614.68
24485,9.44,701,31392,25.92,10,RENT,credit_card,36 months,D,Fully Paid,2020-08-17,783.64
20751,7.68,672,58519,15.23,6,RENT,other,36 months,E,Fully Paid,2022-09-24,647.2
22968,13.52,774,54580,15.46,4,MORTGAGE,credit_card,36 months,C,Fully Paid,2022-12-29,779.65
8945,14.28,738,20000,21.55,6,MORTGAGE,debt_consolidation,60 months,C,Fully Paid,2020-06-24,209.44
3625,8.92,653,37883,13.57,5,RENT,other,36 months,F,Fully Paid,2021-03-21,115.14
27010,18.08,819,163960,18.85,2,RENT,credit_card,36 months,A,Charged Off,2022-08-15,977.56
12418,10.74,721,71036,10.52,5,RENT,debt_consolidation,60 months,B,Fully Paid,2021-03-29,268.39
12993,18.12,738,98792,0.0,10,RENT,debt_consolidation,60 months,C,Fully Paid,2021-07-27,330.79
25625,9.43,734,55029,19.78,6,MORTGAGE,debt_consolidation,60 months,C,Fully Paid,2020-02-22,537.3
19449,5.0,803,20000,2.61,3,MORTGAGE,other,60 months,A,Fully Paid,2021-02-24,367.03
18647,13.61,696,54718,9.41,9,OWN,debt_consolidation,36 months,E,Fully Paid,2020-05-06,633.78
32320,12.99,789,124142,21.56,4,MORTGAGE,debt_consolidation,60 months,B,Charged Off,2022-09-30,735.21
9851,12.14,765,26108,21.65,4,MORTGAGE,major_purchase,36 months,B,Fully Paid,2021-04-03,327.85
22422,9.43,737,101005,24.4,6,OWN,other,36 months,C,Fully Paid,2020-08-17,717.51
15456,11.86,800,20000,0.0,6,OWN,debt_consolidation,36 months,A,Fully Paid,2021-01-02,512.33
17148,9.95,785,60726,17.37,3,RENT,other,36 months,B,Fully Paid,2021-08-31,552.92
27227,10.79,702,87654,12.94,5,RENT,debt_consolidation,36 months,E,Fully Paid,2021-07-12,888.67
19062,15.37,681,48123,22.91,3,OWN,major_purchase,36 months,D,Fully Paid,2021-08-05,664.25
19306,12.74,777,200000,26.81,7,MORTGAGE,other,36 months,B,Fully Paid,2021-10-18,648.08
23580,14.44,736,42394,4.53,1,MORTGAGE,credit_card,36 months,C,Fully Paid,2020-10-31,810.96
12080,11.07,780,39939,15.13,8,OWN,credit_card,36 months,C,Fully Paid,2021-08-10,395.88
8286,10.63,717,69088,21.66,2,MORTGAGE,credit_card,36 months,C,Fully Paid,2021-04-18,269.82
6641,7.39,746,35295,12.3,3,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2020-05-11,206.24
1000,10.52,728,21830,28.97,3,RENT,debt_consolidation,36 months,C,Fully Paid,2020-05-31,32.51
31449,5.0,721,27767,11.79,10,OWN,debt_consolidation,60 months,D,Fully Paid,2022-04-16,593.48
6174,9.64,722,101782,12.6,6,MORTGAGE,small_business,60 months,D,Fully Paid,2021-08-12,130.09
13229,11.67,639,48365,6.41,8,RENT,credit_card,36 months,F,Fully Paid,2020-10-11,437.31
12785,14.25,790,197089,16.23,6,MORTGAGE,credit_card,60 months,B,Fully Paid,2020-07-27,299.14
17459,10.93,701,43964,0.0,10,RENT,debt_consolidation,36 months,D,Fully Paid,2022-01-23,571.01
21525,13.39,667,98455,13.02,2,RENT,major_purchase,60 months,F,Fully Paid,2020-12-28,494.07
21883,5.0,772,85612,25.15,6,RENT,debt_consolidation,36 months,A,Fully Paid,2022-10-17,655.85
10335,11.77,720,43507,3.83,8,MORTGAGE,debt_consolidation,60 months,C,Fully Paid,2020-04-07,228.7
13663,5.28,611,32365,2.05,6,MORTGAGE,debt_consolidation,36 months,G,Fully Paid,2022-12-02,411.21
17260,7.17,798,20000,23.93,9,MORTGAGE,small_business,36 months,A,Fully Paid,2020-03-28,534.28
13010,11.25,753,88184,25.01,6,RENT,small_business,36 months,B,Fully Paid,2021-11-09,427.47
27858,17.11,782,138521,4.15,8,OWN,other,36 months,A,Fully Paid,2022-06-06,994.74
18927,13.48,749,20000,28.86,2,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2021-08-20,642.11
20879,12.07,696,46197,18.46,3,RENT,other,36 months,E,Fully Paid,2022-12-04,694.18
20303,11.92,754,37539,23.39,4,MORTGAGE,debt_consolidation,60 months,B,Fully Paid,2021-02-20,450.81
24387,9.15,743,88076,8.67,9,OWN,debt_consolidation,60 months,B,Fully Paid,2022-03-05,508.01
16448,9.82,741,47569,26.91,4,MORTGAGE,credit_card,36 months,C,Fully Paid,2022-08-23,529.34
4625,13.71,779,151158,12.86,6,OWN,small_business,36 months,B,Fully Paid,2020-10-03,157.42
18197,6.46,659,45748,12.5,4,RENT,home_improvement,36 months,E,Fully Paid,2021-05-18,557.39
9789,14.37,833,25198,18.86,8,OWN,debt_consolidation,36 months,A,Fully Paid,2022-03-19,336.33
10771,10.45,632,43124,11.86,2,MORTGAGE,debt_consolidation,60 months,F,Charged Off,2021-09-29,231.24
19690,15.3,674,46582,2.83,6,OWN,credit_card,36 months,E,Fully Paid,2020-05-23,685.46
24906,15.84,795,86532,16.05,6,OWN,other,60 months,A,Fully Paid,2021-05-08,603.55
15170,5.31,753,46098,12.45,4,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2022-01-15,456.77
17470,9.67,686,81476,8.86,7,MORTGAGE,major_purchase,60 months,F,Fully Paid,2020-10-02,368.36
28617,8.58,661,34429,24.92,0,RENT,debt_consolidation,36 months,E,Fully Paid,2021-04-17,904.43
16926,5.0,774,48714,34.14,8,MORTGAGE,other,36 months,C,Fully Paid,2020-05-25,507.29
35813,7.87,733,34560,7.65,3,MORTGAGE,credit_card,36 months,C,Fully Paid,2020-03-28,1120.1
19524,21.77,794,33102,16.58,8,RENT,debt_consolidation,36 months,A,Fully Paid,2021-10-21,743.31
1000,14.44,697,146149,11.81,3,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2020-06-06,34.39
21026,19.67,813,36294,33.31,2,OWN,other,60 months,A,Fully Paid,2021-08-24,553.21
18049,15.32,779,46942,18.93,4,RENT,credit_card,36 months,C,Fully Paid,2022-02-22,628.51
25318,9.03,788,124395,22.42,8,MORTGAGE,debt_consolidation,36 months,A,Fully Paid,2020-01-24,805.46
20385,10.47,733,101214,24.45,7,RENT,debt_consolidation,60 months,C,Fully Paid,2020-03-14,437.85
13892,14.35,799,188875,16.04,4,OWN,debt_consolidation,36 months,B,Fully Paid,2020-08-29,477.16
5205,13.75,717,83948,13.51,9,OWN,credit_card,36 months,C,Fully Paid,2022-08-16,177.26
13327,9.69,724,39329,27.15,4,MORTGAGE,home_improvement,36 months,C,Fully Paid,2020-10-19,428.09
8195,5.96,827,200000,21.22,4,MORTGAGE,small_business,36 months,A,Fully Paid,2021-01-09,249.16
10355,25.0,778,89990,8.23,1,OWN,credit_card,36 months,B,Fully Paid,2021-10-14,411.71
19708,11.44,782,53729,9.21,1,RENT,debt_consolidation,36 months,A,Fully Paid,2021-09-03,649.33
28359,10.7,722,62331,11.88,3,MORTGAGE,credit_card,36 months,D,Fully Paid,2020-05-15,924.41
18157,12.45,769,67880,24.27,1,RENT,credit_card,36 months,A,Fully Paid,2021-09-25,606.98
5432,11.03,731,50727,26.79,5,OWN,debt_consolidation,36 months,D,Fully Paid,2022-11-03,177.91
18556,12.49,580,22854,32.21,9,RENT,other,36 months,G,Fully Paid,2020-04-18,620.68
24573,17.15,659,186970,9.33,5,MORTGAGE,credit_card,36 months,E,Fully Paid,2021-11-29,877.93
10121,11.5,777,58965,16.12,5,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2022-06-27,333.75
13927,7.35,744,68080,11.8,3,OWN,other,36 months,B,Fully Paid,2020-09-04,432.26
15117,11.35,650,200000,13.54,2,OTHER,other,36 months,F,Charged Off,2022-02-08,497.42
8720,10.14,751,37112,22.44,2,RENT,other,36 months,C,Charged Off,2021-08-15,281.94
20186,17.7,755,94735,14.63,6,MORTGAGE,small_business,36 months,B,Fully Paid,2020-06-03,726.74
14032,16.68,797,34385,25.53,6,RENT,debt_consolidation,60 months,A,Fully Paid,2022-03-17,346.32
18356,12.43,786,74960,10.87,2,RENT,other,60 months,B,Fully Paid,2020-05-24,412.32
7900,6.89,718,68944,20.93,4,MORTGAGE,home_improvement,60 months,D,Fully Paid,2022-04-12,156.02
11500,7.1,800,104132,11.46,6,OTHER,credit_card,60 months,B,Fully Paid,2022-06-12,228.26
20779,12.06,753,139485,0.3,8,RENT,other,36 months,B,Fully Paid,2021-03-29,690.76
12017,13.35,750,39908,6.83,3,RENT,debt_consolidation,36 months,B,Fully Paid,2021-10-04,406.93
28815,10.5,676,161405,15.99,3,MORTGAGE,other,36 months,F,Fully Paid,2020-02-05,936.56
11802,10.08,747,169606,30.37,7,OWN,credit_card,36 months,C,Fully Paid,2021-09-13,381.26
16797,9.63,704,50262,11.32,5,RENT,credit_card,36 months,D,Fully Paid,2021-05-10,539.08
22460,11.91,698,59598,13.65,9,RENT,credit_card,36 months,D,Fully Paid,2022-12-26,745.03
3653,5.0,666,42359,18.92,2,MORTGAGE,home_improvement,36 months,F,Fully Paid,2020-07-30,109.48
1000,7.59,702,48348,10.2,8,RENT,debt_consolidation,60 months,D,Fully Paid,2021-10-01,20.08
2794,9.49,815,25785,11.13,2,MORTGAGE,other,60 months,A,Fully Paid,2022-01-29,58.67
25100,16.83,795,103184,15.58,6,RENT,debt_consolidation,36 months,B,Fully Paid,2020-07-21,892.76
10585,8.74,712,20000,11.51,3,RENT,other,36 months,D,Charged Off,2021-07-07,335.32
35465,12.72,742,36755,0.74,1,RENT,credit_card,36 months,B,Fully Paid,2022-02-15,1190.18
10486,12.91,691,57970,9.8,6,MORTGAGE,other,36 months,E,Fully Paid,2020-04-06,352.86
16476,17.19,702,148725,19.92,5,RENT,debt_consolidation,36 months,E,Fully Paid,2022-01-21,588.97
27336,17.05,763,40877,20.17,5,OWN,major_purchase,36 months,C,Fully Paid,2021-10-19,975.28
31048,11.77,773,80780,25.69,6,OWN,credit_card,36 months,B,Fully Paid,2020-08-04,1027.83
31492,10.1,765,56574,25.04,4,RENT,major_purchase,60 months,A,Fully Paid,2020-10-11,670.66
24666,9.34,640,116027,7.8,7,RENT,debt_consolidation,36 months,F,Fully Paid,2021-02-12,788.28
23192,11.04,730,77878,9.04,1,RENT,other,36 months,C,Fully Paid,2020-02-20,759.72
19740,10.26,727,107060,9.39,7,RENT,other,36 months,D,Fully Paid,2021-01-27,639.37
21226,14.21,778,40723,13.78,6,RENT,debt_consolidation,36 months,B,Fully Paid,2020-09-27,727.62
10590,13.68,757,29442,10.01,5,RENT,debt_consolidation,60 months,C,Fully Paid,2020-04-30,244.66
8454,14.37,696,77419,13.6,1,RENT,credit_card,36 months,D,Fully Paid,2022-12-30,290.46
14973,17.04,744,42556,8.02,3,RENT,debt_consolidation,60 months,C,Fully Paid,2020-07-23,372.44
13638,19.45,724,61158,21.28,3,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2022-11-08,503.02
11374,12.5,731,74764,7.42,2,RENT,small_business,36 months,C,Fully Paid,2020-10-27,380.5
20571,16.4,590,142819,7.02,10,RENT,debt_consolidation,60 months,G,Fully Paid,2020-06-19,504.63
22642,10.59,744,103839,19.16,9,RENT,home_improvement,60 months,D,Fully Paid,2020-08-18,487.67
15707,16.74,749,37171,20.78,5,RENT,credit_card,36 months,C,Fully Paid,2020-02-29,557.97
26820,16.25,688,26862,13.2,2,MORTGAGE,debt_consolidation,36 months,E,Fully Paid,2020-03-24,946.23
5866,16.03,715,197830,21.95,9,RENT,credit_card,60 months,C,Fully Paid,2020-02-09,142.74
13450,12.38,737,20000,21.37,7,MORTGAGE,small_business,36 months,C,Fully Paid,2020-12-31,449.18
9265,9.33,753,43618,30.19,0,OWN,credit_card,60 months,C,Fully Paid,2020-04-12,193.81
1000,6.42,752,94058,20.86,5,MORTGAGE,credit_card,36 months,B,Fully Paid,2022-01-06,30.61
14338,11.84,790,188552,28.66,6,MORTGAGE,home_improvement,36 months,A,Fully Paid,2021-12-14,475.13
14026,18.13,792,52430,15.5,1,MORTGAGE,debt_consolidation,60 months,B,Fully Paid,2022-09-10,357.16
27107,10.76,688,61031,26.2,0,MORTGAGE,debt_consolidation,60 months,D,Fully Paid,2021-11-19,586.13
20046,15.14,731,32450,26.37,5,OWN,debt_consolidation,60 months,C,Fully Paid,2020-04-27,478.37
6806,15.38,663,65423,13.86,0,RENT,debt_consolidation,60 months,E,Charged Off,2022-03-20,163.27
29832,10.87,776,26766,9.49,0,OWN,major_purchase,36 months,B,Charged Off,2022-09-12,974.83
24768,17.27,785,35411,10.9,2,RENT,debt_consolidation,36 months,B,Fully Paid,2022-05-12,886.38
19656,5.0,772,102203,18.32,9,RENT,debt_consolidation,36 months,C,Fully Paid,2020-07-08,589.11
13188,7.11,687,44200,5.8,8,MORTGAGE,credit_card,36 months,E,Fully Paid,2020-07-23,407.87
7324,8.34,734,113785,11.37,5,RENT,home_improvement,36 months,D,Fully Paid,2020-06-18,230.66
12022,8.72,747,53773,24.58,5,MORTGAGE,debt_consolidation,60 months,C,Fully Paid,2021-12-18,247.93
23709,13.35,652,22966,20.33,7,MORTGAGE,debt_consolidation,36 months,E,Fully Paid,2021-09-27,802.85
30076,13.16,710,135653,0.0,5,MORTGAGE,debt_consolidation,60 months,D,Fully Paid,2021-06-17,686.79
27345,13.58,681,23843,4.34,1,RENT,credit_card,36 months,E,Fully Paid,2021-06-30,929.02
11089,14.38,671,39290,32.27,7,RENT,debt_consolidation,36 months,F,Fully Paid,2020-02-12,381.05
6043,8.2,738,52063,24.44,1,RENT,home_improvement,36 months,C,Fully Paid,2020-07-05,189.92
16127,7.13,732,121064,10.34,5,OWN,debt_consolidation,36 months,C,Fully Paid,2021-01-17,498.91
1000,13.59,692,41417,3.09,9,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2022-03-20,33.98
17585,9.48,614,31297,5.0,1,OWN,other,36 months,G,Fully Paid,2020-11-25,563.14
13819,5.72,678,67095,19.07,7,OWN,debt_consolidation,36 months,E,Fully Paid,2020-08-21,418.65
11271,15.89,811,51545,30.82,0,MORTGAGE,credit_card,36 months,A,Fully Paid,2021-03-02,395.64
2242,17.58,723,43166,30.31,10,OWN,debt_consolidation,60 months,C,Fully Paid,2021-04-05,56.42
19108,18.23,726,69671,2.39,7,MORTGAGE,debt_consolidation,36 months,E,Fully Paid,2020-06-28,693.01
10738,12.75,781,25783,12.63,10,MORTGAGE,debt_consolidation,60 months,A,Fully Paid,2020-06-03,242.95
5640,14.5,714,20000,8.14,7,RENT,major_purchase,36 months,C,Fully Paid,2022-11-02,194.13
1000,17.48,660,200000,16.1,2,MORTGAGE,home_improvement,60 months,F,Fully Paid,2022-09-18,25.11
14779,9.43,744,64403,4.35,9,MORTGAGE,credit_card,60 months,B,Fully Paid,2021-02-14,309.88
29178,16.44,710,67638,10.63,6,MORTGAGE,home_improvement,36 months,D,Fully Paid,2022-08-31,1032.16
28290,13.1,756,34634,8.06,6,RENT,debt_consolidation,36 months,B,Fully Paid,2020-12-28,954.57
11343,15.65,753,112239,19.19,4,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2020-06-09,396.83
10182,12.74,653,41215,10.88,3,RENT,debt_consolidation,60 months,F,Fully Paid,2021-05-26,230.32
18750,17.19,792,20000,12.03,5,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2020-08-31,670.26
7012,12.89,658,40258,19.09,4,MORTGAGE,debt_consolidation,36 months,F,Fully Paid,2022-10-25,235.89
17414,6.06,770,49168,28.14,9,MORTGAGE,major_purchase,36 months,B,Charged Off,2021-03-13,530.24
21128,17.81,774,53153,31.93,0,RENT,credit_card,36 months,B,Fully Paid,2020-12-21,761.82
24815,8.21,690,52088,18.65,5,MORTGAGE,debt_consolidation,36 months,D,Fully Paid,2020-10-28,780.02
14198,17.01,756,38122,14.29,8,RENT,other,60 months,B,Fully Paid,2020-01-25,352.93
13370,11.64,774,35629,25.53,0,RENT,debt_consolidation,36 months,B,Fully Paid,2020-02-27,441.78
7976,16.7,781,48601,24.34,3,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2022-01-22,283.18
8384,16.54,793,20000,22.05,1,MORTGAGE,other,36 months,A,Fully Paid,2022-05-17,297.0
13188,13.72,675,20000,2.37,6,RENT,debt_consolidation,60 months,E,Fully Paid,2021-06-25,304.95
17938,14.03,732,64128,24.67,3,RENT,debt_consolidation,36 months,C,Fully Paid,2020-10-24,613.34
22308,13.69,717,64881,17.87,10,MORTGAGE,debt_consolidation,60 months,D,Fully Paid,2021-12-01,515.49
8574,5.0,740,110810,7.85,6,MORTGAGE,credit_card,60 months,C,Fully Paid,2021-08-29,161.8
26941,12.47,782,50066,9.62,6,RENT,debt_consolidation,60 months,B,Charged Off,2022-01-12,605.71
12831,7.54,727,25963,19.66,9,RENT,debt_consolidation,36 months,C,Fully Paid,2022-07-16,399.36
14829,12.68,798,20000,0.0,2,RENT,debt_consolidation,36 months,A,Fully Paid,2021-06-05,497.37
9022,7.43,740,32108,14.0,6,OWN,major_purchase,36 months,D,Fully Paid,2021-12-03,280.35
1000,7.26,780,80479,9.76,5,MORTGAGE,major_purchase,36 months,C,Fully Paid,2022-03-14,31.0
22072,18.42,795,164228,8.94,1,OWN,debt_consolidation,36 months,A,Fully Paid,2020-12-10,802.61
20894,16.28,766,62184,11.34,9,MORTGAGE,debt_consolidation,36 months,C,Fully Paid,2020-03-30,737.46
12749,11.98,795,25603,3.16,7,OWN,credit_card,36 months,B,Fully Paid,2021-09-12,423.33
15535,12.74,816,32339,23.42,9,MORTGAGE,debt_consolidation,36 months,A,Fully Paid,2022-11-26,521.49
19127,11.01,584,33054,0.0,10,MORTGAGE,small_business,36 months,G,Fully Paid,2020-10-24,626.28
2499,14.28,771,45062,16.35,5,MORTGAGE,credit_card,60 months,A,Charged Off,2022-04-13,58.51
10767,9.3,699,131219,8.22,8,RENT,debt_consolidation,60 months,D,Fully Paid,2021-10-17,225.08
21354,15.97,700,138584,30.87,6,RENT,debt_consolidation,36 months,D,Fully Paid,2021-05-25,750.43
4965,10.99,721,53072,15.18,10,RENT,other,36 months,C,Fully Paid,2021-02-15,162.52
17348,10.32,811,68060,0.0,2,MORTGAGE,debt_consolidation,60 months,A,Fully Paid,2020-04-03,371.33
4147,12.09,782,34259,19.37,0,MORTGAGE,debt_consolidation,60 months,B,Fully Paid,2022-08-22,92.44
18731,9.64,805,20000,6.26,2,MORTGAGE,debt_consolidation,36 months,B,Fully Paid,2020-08-07,601.24
14714,13.31,607,200000,22.88,1,MORTGAGE,debt_consolidation,36 months,G,Fully Paid,2021-11-07,497.97
2078,9.85,786,20000,19.94,4,MORTGAGE,debt_consolidation,60 months,A,Fully Paid,2022-06-09,44.0
24317,13.87,803,20000,26.78,1,OWN,major_purchase,36 months,A,Charged Off,2021-04-20,829.56
9123,16.86,744,200000,16.5,2,MORTGAGE,credit_card,36 months,B,Fully Paid,2020-05-09,324.62
8517,9.12,747,60574,21.55,1,RENT,credit_card,36 months,D,Fully Paid,2022-08-13,271.31
16604,11.48,672,27224,15.34,5,RENT,debt_consolidation,36 months,E,Fully Paid,2021-11-06,547.38
24189,13.85,708,96557,10.28,3,RENT,debt_consolidation,60 months,D,Fully Paid,2022-10-09,560.96
6873,10.26,742,102861,23.53,5,RENT,other,36 months,C,Fully Paid,2022-10-01,222.61
15493,13.86,707,23555,5.16,1,RENT,debt_consolidation,36 months,D,Fully Paid,2020-02-19,528.46
18430,14.22,704,41233,14.71,5,RENT,other,60 months,D,Fully Paid,2022-03-24,430.94
20544,16.33,667,110566,10.45,1,MORTGAGE,credit_card,36 months,G,Fully Paid,2021-11-05,725.62
16411,9.58,741,33798,21.74,1,MORTGAGE,credit_card,36 months,C,Fully Paid,2020-01-06,526.31
12063,8.23,779,72948,7.43,3,MORTGAGE,debt_consolidation,60 months,B,Fully Paid,2021-08-31,245.92
8379,10.77,790,162327,11.73,9,RENT,credit_card,36 months,A,Fully Paid,2022-08-03,273.41
15689,8.13,752,20000,15.35,8,RENT,small_business,60 months,C,Fully Paid,2021-11-07,319.09
6422,14.26,650,47151,26.9,10,MORTGAGE,debt_consolidation,60 months,F,Fully Paid,2020-02-02,150.3
1000,7.35,714,71908,10.74,5,RENT,debt_consolidation,36 months,D,Fully Paid,2020-11-04,31.04
